TaskID,TaskName,Category,Duration,RequiredSkills,PreferredPhases,MaxConcurrent
T1,Task Beta,Category2,5,"skill5,skill4","[1,3]",1
T2,Task Gamma,Category3,5,"skill5,skill4",1-3,1
T3,Task Gamma,Category3,7,"skill3,skill1",2-4,2
T4,Task Delta,Category3,6,"skill1,skill6",2-4,1
T5,Task Gamma,Category3,10,"skill3,skill5","[1,2]",1
T6,Task Alpha,Category3,4,"skill6,skill3",1-3,1
T7,Task Gamma,Category3,1,"skill1,skill7",2-4,3
T8,Task Alpha,Category2,1,"skill7,skill2",1-3,3
T9,Task Alpha,Category3,6,"skill6,skill2","[2,3]",3
T10,Task Gamma,Category1,7,"skill3,skill2","[1,2]",3
T11,Task Epsilon,Category3,10,"skill7,skill5","[1,2]",3
T12,Task Alpha,Category3,2,"skill7,skill4",1-3,3
T13,Task Alpha,Category3,2,"skill1,skill3",2-4,1
T14,Task Beta,Category2,10,"skill4,skill1","[2,3]",3
T15,Task Gamma,Category2,4,"skill5,skill7","[1,3]",3
T16,Task Delta,Category3,3,"skill4,skill3","[2,3]",1
T17,Task Alpha,Category1,5,"skill1,skill2","[1,2]",1
T18,Task Epsilon,Category2,5,"skill7,skill5","[2,3]",3
T19,Task Alpha,Category2,10,"skill6,skill1","[2,3]",3
T20,Task Delta,Category2,9,"skill6,skill2",2-4,3
T21,Task Beta,Category2,1,"skill4,skill2",1-3,1
T22,Task Beta,Category3,9,"skill1,skill7","[1,2]",3
T23,Task Beta,Category2,4,"skill7,skill3",1-3,1
T24,Task Gamma,Category1,3,"skill5,skill1","[1,2]",3
T25,Task Delta,Category3,6,"skill6,skill5","[1,2]",2
T26,Task Delta,Category3,3,"skill3,skill5","[1,2]",2
T27,Task Epsilon,Category1,4,"skill5,skill2",1-3,3
T28,Task Delta,Category1,8,"skill2,skill6","[1,3]",3
T29,Task Gamma,Category2,10,"skill6,skill7","[2,3]",3
T30,Task Gamma,Category1,4,"skill1,skill2",1-3,2
T31,Task Epsilon,Category3,3,"skill4,skill5","[2,3]",3
T32,Task Beta,Category1,9,"skill6,skill1","[1,3]",2
T33,Task Alpha,Category1,4,"skill6,skill7","[1,2]",1
T34,Task Alpha,Category3,3,"skill7,skill6","[1,3]",3
T35,Task Epsilon,Category2,3,"skill6,skill5",2-4,1
T36,Task Alpha,Category2,3,"skill4,skill6",1-3,3
T37,Task Gamma,Category1,9,"skill5,skill1","[1,3]",1
T38,Task Delta,Category3,6,"skill4,skill2","[1,2]",3
T39,Task Epsilon,Category2,5,"skill1,skill2",2-4,1
T40,Task Gamma,Category1,10,"skill6,skill3","[2,3]",2
T41,Task Beta,Category3,3,"skill7,skill3","[1,3]",1
T42,Task Alpha,Category2,9,"skill5,skill2","[1,3]",3
T43,Task Delta,Category1,8,"skill2,skill3","[1,3]",2
T44,Task Epsilon,Category2,4,"skill2,skill4",1-3,3
T45,Task Alpha,Category1,3,"skill1,skill4","[2,3]",3
T46,Task Alpha,Category1,2,"skill6,skill4","[2,3]",1
T47,Task Alpha,Category3,6,"skill3,skill2","[1,3]",2
T48,Task Alpha,Category2,4,"skill1,skill4",2-4,2
T49,Task Alpha,Category3,1,"skill1,skill4",2-4,2
T50,Task Alpha,Category2,1,"skill2,skill1",1-3,2
T51,Task Gamma,Category2,10,"skill5,skill2","[1,2]",3
T52,Task Epsilon,Category3,10,"skill7,skill6","[1,3]",1
T53,Task Delta,Category1,3,"skill6,skill2","[1,3]",2
T54,Task Epsilon,Category1,2,"skill7,skill1",1-3,1
T55,Task Delta,Category1,10,"skill7,skill5",1-3,3
T56,Task Beta,Category1,5,"skill7,skill2",1-3,3
T57,Task Beta,Category2,6,"skill7,skill2","[2,3]",2
T58,Task Epsilon,Category1,3,"skill1,skill6",2-4,1
T59,Task Gamma,Category3,8,"skill3,skill5","[1,2]",2
T60,Task Gamma,Category1,8,"skill2,skill3",2-4,3
T61,Task Beta,Category3,8,"skill4,skill5","[1,3]",2
T62,Task Alpha,Category1,8,"skill4,skill6","[1,3]",2
T63,Task Delta,Category2,8,"skill5,skill3",2-4,3
T64,Task Delta,Category3,5,"skill5,skill6","[1,2]",3
T65,Task Epsilon,Category3,4,"skill1,skill4","[2,3]",3
T66,Task Beta,Category2,4,"skill1,skill7","[2,3]",2
T67,Task Alpha,Category3,7,"skill7,skill2","[1,2]",2
T68,Task Epsilon,Category2,5,"skill2,skill5",2-4,1
T69,Task Delta,Category3,6,"skill1,skill2","[2,3]",3
T70,Task Gamma,Category3,10,"skill5,skill6",1-3,2
T71,Task Alpha,Category1,2,"skill5,skill6",2-4,3
T72,Task Gamma,Category3,1,"skill4,skill2","[1,3]",2
T73,Task Epsilon,Category2,6,"skill7,skill4","[1,2]",1
T74,Task Epsilon,Category1,9,"skill7,skill4",2-4,1
T75,Task Gamma,Category2,1,"skill7,skill2",1-3,2
T76,Task Gamma,Category2,5,"skill3,skill2","[1,3]",3
T77,Task Alpha,Category1,2,"skill2,skill5","[1,2]",3
T78,Task Delta,Category1,9,"skill1,skill5","[1,3]",2
T79,Task Delta,Category3,6,"skill7,skill3","[2,3]",3
T80,Task Gamma,Category3,4,"skill2,skill4","[1,2]",2
T81,Task Alpha,Category3,9,"skill2,skill4","[1,2]",1
T82,Task Alpha,Category2,5,"skill6,skill3","[2,3]",2
T83,Task Alpha,Category1,5,"skill2,skill5",1-3,3
T84,Task Delta,Category1,4,"skill2,skill1","[1,3]",3
T85,Task Gamma,Category3,9,"skill2,skill3","[1,2]",3
T86,Task Delta,Category3,3,"skill1,skill6","[2,3]",2
T87,Task Gamma,Category3,3,"skill5,skill4",1-3,1
T88,Task Epsilon,Category3,7,"skill3,skill7","[1,3]",1
T89,Task Alpha,Category3,9,"skill7,skill5","[1,3]",3
T90,Task Beta,Category2,5,"skill3,skill6","[1,2]",3
T91,Task Beta,Category3,1,"skill5,skill6","[2,3]",2
T92,Task Gamma,Category2,2,"skill6,skill5","[2,3]",1
T93,Task Delta,Category3,3,"skill4,skill3","[1,3]",2
T94,Task Delta,Category2,9,"skill5,skill3","[2,3]",2
T95,Task Epsilon,Category2,4,"skill7,skill1","[1,3]",1
T96,Task Delta,Category3,6,"skill6,skill5","[2,3]",2
T97,Task Alpha,Category1,2,"skill2,skill7",2-4,2
T98,Task Alpha,Category3,1,"skill4,skill6","[2,3]",3
T99,Task Beta,Category1,1,"skill3,skill1","[1,2]",2
T100,Task Beta,Category2,4,"skill3,skill7","[2,3]",1
